page,2013-04-01 pi,2013-05-01 pi,2013-06-01 pi,2013-07-01 pi,2013-08-01 pi,2013-09-01 pi,2013-10-01 pi,2013-11-01 pi,2013-12-01 pi,2014-01-01 pi,2014-02-01 pi,2014-03-01 pi,2014-04-01 pi,2014-05-01 pi,2014-06-01 pi,2014-07-01 pi,2014-08-01 pi,2014-09-01 pi,2014-10-01 pi,2014-11-01 pi,2014-12-01 pi,2015-01-01 pi,2015-02-01 pi,2015-03-01 pi,2015-04-01 pi,2015-05-01 pi,2015-06-01 pi,2015-07-01 pi,2015-08-01 pi,2015-09-01 pi,2015-10-01 pi,2015-11-01 pi,2015-12-01 pi,2016-01-01 pi,2016-02-01 pi,2016-03-01 pi,2016-04-01 pi,2016-05-01 pi,2016-06-01 pi,2016-07-01 pi,2016-08-01 pi,2016-09-01 pi,2016-10-01 pi,2016-11-01 pi,2016-12-01 pi,2017-01-01 pi,2017-02-01 pi,2017-03-01 pi,2017-04-01 pi,2017-05-01 pi,2017-06-01 pi,2017-07-01 pi,2017-08-01 pi,2017-09-01 pi,2017-10-01 pi,2017-11-01 pi,2017-12-01 pi,2018-01-01 pi,2018-02-01 pi,2018-03-01 pi,2018-04-01 pi,2018-05-01 pi,sum
vbb-fahrplandaten-dezember-2016-bis-dezember-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,213,27,13,18,20,5,3,2,2,2,4,2,2,5,1,1,1,412
solaranlagen-thermie-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,7,2,1,1,1,,,,,,1,,,1,18
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am,,,,,,,,,,,,,,8,,3,5,,,,,,,1,,3,3,1,1,,,,,,1,,1,6,2,3,2,1,1,1,,,,,2,1,,1,1,,,,,,,4,2,1,55
grundwassergleichen-des-hauptgrundwasserleiters-2015-ua-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
forstliche-standorteinheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,4,,,,,,1,11
bodenrichtwerte-01012014-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,,1,4,4,3,5,5,2,1,3,4,6,2,6,7,5,4,7,5,2,,,,8,3,1,104
gesundheitsberichterstattung-berlin-gesundheitsindikator-49-body-mass-index-bmi-bei,,,,,,,,,,,,6,,1,,,,,,,,,,2,1,1,,2,3,3,2,3,2,1,4,,,,4,,3,,,,,,,,,,,,,4,2,9,,5,5,5,,1,69
berliner-barnim-naherholungsgebiet-leitbild-landschaftsentwicklung-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
jahreshöchstlast-der-netzlast-2015-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,1,4,2,2,1,1,2,,,,,,,,,,,,1,18
moore-moorgebiete-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2
vbb-fahrplandaten-august-bis-oktober-2014,,,,,,,,,,,,,,,,,8,161,20,11,5,3,5,,3,1,4,1,3,,,1,,,,2,,1,,,,,,2,,,,,,2,,,,,,,,,,1,1,1,236
gesundheitsberichterstattung-berlin-gesundheitsindikator-23-bevölkerung-nach-alter-und,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,5,1,5,,2,,,,,,,,,,,,1,21
klimamodell-berlin-klimaanalysekarte-2015-luftaustauschbahnen-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2
vbb-fahrplandaten-dezember-2015-bis-dezember-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,352,185,47,8,6,12,13,6,8,12,12,12,11,4,1,2,2,2,1,1,,,,4,,2,,,1,764
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122007,,,,,,,,,,,,,,1,,8,2,1,5,4,4,1,1,,,,,,,,,,,,,3,,5,2,2,2,,,,1,1,1,,,3,,,,,,,,,,2,1,1,51
grundwassermessstellen-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,4,,,1,5,6,5,,1,6,8,6,3,,1,1,52
gesundheitsberichterstattung-berlin-bevölkerung-und-bevölkerungsspezifische-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,2,,3,2,4,1,,,,,,,2,3,1,,,,,,1,22
arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2014-lor-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,4
schutzgebiete-im-inspire-datenmodell-schutzgebiete-nach-naturschutzrecht-atom-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-46-mittlerer-täglicher,,,,,,,,,,,,,,1,4,,1,,,,,,,,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,12
aufgrabeverbote-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,6
grundwassergleichen-2016-umweltatlas-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
genehmigungsbedürftige-anlagennebenanlagen-nach-%C2%A7-4-bimschg-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,1,7
lapro-beschlussfassung-gesamtstädtische-ausgleichskonzeption-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,1,1,,,1,10
grün-und-freiflächenbestand-2015-umweltatlas-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,3
landesentwicklungsplan-flughafenstandortentwicklung-lep-fs-vom-30-mai-2006-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
digitale-farbige-orthophotos-2007-dop20rgb-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3
haushaltsplan-berlin-2010,7,5,2,6,9,1,4,3,1,1,2,2,,2,3,1,2,5,4,2,,2,2,,4,1,,2,1,,2,3,,,1,3,2,3,,,2,1,1,1,,,,,1,1,1,2,3,1,1,1,,,,2,,1,107
gesundheitsberichterstattung-berlin-gesundheitsindikator-318-verteilung-der-häufigsten,,,,,,,,,,,1,8,3,2,,,,1,,1,,,1,,,,,,1,,,,,,2,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,23
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122010,,,,,,,,,,,,,,2,1,1,3,,,,1,,2,1,,1,3,3,1,,,,1,1,2,1,3,4,5,7,4,1,1,3,2,6,2,,,,,1,1,2,1,3,,,,5,1,1,77
ingenieurgeologische-karte-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2
kamerale-monatsdaten-bezirksamt-marzahn-hellersdorf-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,4,2,10,1,,,12,,,,,,,1,,1,,,,,,,1,2,1,83
los32014-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,3
berlin-um-1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,5,1,3,5,2,3,1,1,25
sozialstatistisches-berichtswesen-berlin-landespflegegeldgesetz-lpflgg-ab-2004,,,,,,,,,,,5,8,14,13,5,7,3,6,15,6,,,,3,6,14,5,,4,3,1,8,3,2,12,6,15,3,7,5,5,4,4,2,1,1,2,4,4,10,11,7,6,3,10,3,1,5,2,2,1,1,268
vbb-fahrplandaten-dezember-2016-bis-august-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,60,21,24,23,28,18,12,24,7,4,5,2,5,2,2,5,1,450
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-22,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,9
prüfberichte-der-berliner-heimaufsicht,,,,,,,,,,,,5,7,21,21,33,14,27,19,17,24,22,27,23,8,15,17,5,2,5,11,5,1,,2,3,2,5,1,3,6,,3,5,1,7,9,4,1,1,3,1,15,,6,1,4,1,5,2,2,1,423
gesundheitsberichterstattung-berlin-gesundheitsindikator-714-impfquote-bezüglich-masern,,,,,,,,,,,1,1,1,1,,,,,1,1,,,37,14,5,5,,,,,,2,,,,,2,1,,1,1,,,,1,1,1,2,,3,3,,3,1,,1,,,2,,,1,93
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-15,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,5,,,,,,1,,1,2,1,,3,,,,,,,,,,,,1,2,3,1,25
gesundheitsberichterstattung-berlin-inanspruchnahme-von-leistungen-der-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
gesundheitsberichterstattung-berlin-ausgaben-und-finanzierung-gesundheitsausgaben-nach-1,,,,,,,,,,,3,1,1,7,2,5,1,8,4,3,2,6,10,1,4,5,7,6,2,3,2,5,,3,2,,,,7,,7,2,6,4,,3,4,2,1,1,,,,,,1,,,3,,,1,135
vbb-fahrplandaten-1-halb...%3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,5
wochen-und-trödelmärkte,,,,,,,,,,,,,,,,,9,28,121,45,35,38,118,70,85,102,36,50,24,39,80,41,11,49,57,49,49,80,109,73,81,40,114,69,38,36,15,24,36,44,78,89,70,43,44,18,40,27,4,15,,1,2324
lapro-beschlussfassung-erholung-und-freiraumnutzung-programmplan-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
liste-der-badestellen-badegewässerqualität,52,143,176,408,248,126,53,34,12,16,43,33,33,228,310,411,140,96,40,26,42,4,8,15,21,128,167,233,162,81,76,13,7,7,13,13,23,100,81,54,43,31,24,30,2,,5,5,5,16,2,4,3,8,2,5,,,,,,1,4062
gebäude-und-vegetationshöhen-20092010-umweltatlas-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3
suche-von-förderprogrammen-projekten-und-wettbewerben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,3,7,5,2,2,1,5,,,,,,1,52
lebensweltlich-orientierte-räume-lor-ber%3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,,,,,,,,,1,5
standardeinspeisprofil-bhkw-2015-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,6,1,4,,,,1,1,1,,,,,,1,19
kleingartenbestand-berlin-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,5
wochen-und-trödelmärkte-0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,3
sozialstatistisches-berichtswesen-berlin-grundauswertungen-leistungen-nach-lpflgg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,4,3,,1,,,,,,,,,,,,,,,1,17
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122008,,,,,,,,,,,,,,2,1,1,3,2,3,1,,,,,,,2,,2,,,1,,,1,,1,4,2,,3,1,1,1,,,2,3,,1,,,,,2,1,,,,1,,1,43
mittelmaßstäbige-landwirtschaftliche-standortkartierung-mmk-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3
kamerale-monatsdaten-bezirk-lichtenberg-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,,6,10,21,4,2,3,5,,,,,2,2,20,2,2,1,1,2,,,1,,,,,,,,2,1,100
wohnatlas-berlin-wohnungsverkäufe-2009-pro-1000-wohnungen-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
strat-lärmkarte-ln-nacht-index-straßenverkehr-2017-ua-atom-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,5
"alkis-berlin-sw-amtliches-liegenschaftskatasterinformationssystem&xid=17259,15700021,15700124,15700149,15700168,15700173,15700186,15700189,15700201&usg=ALkJrhjImIJsuVJ0BaBkcucBRxr2AS7HCg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
grünanlagenbestand-berlin-einschl-der-öffentlichen-spielplätze-grünanlagen-wfs-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
liste-der-häufigen-vornamen-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
strat-lärmkarte-gesamtlärmindex-ln-nacht-raster-2017-ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,12
standardlastprofil-haushaltskunden-2013-berlin,,,2,3,3,,3,2,9,8,8,4,4,6,2,10,13,10,7,2,2,1,4,2,9,1,5,,2,,,,,1,2,3,,3,,,,1,,2,2,1,1,,,2,,,,,,,,,,,,1,141
digitale-topographische-karte-1-50-000-dtk50-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,2,6,2,5,4,2,6,8,,7,12,10,5,5,3,4,9,5,8,4,9,5,3,3,,1,138
lebensweltlich-orientierte-räume-planungsräume-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4
gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-ausgewählte-im-1,,,,,,,,,,,,,,,2,2,2,,,,2,,2,,,,,,,,,,,,,,,,,1,1,,,,,1,4,3,1,1,,,2,,,,,,,2,2,1,29
standardlastprofil-gewerbe-allgemein-2016-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,2,2,1,2,1,,,,,,,,,,,,,,,1,20
geologische-bohrdaten-wms-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,4
baumbestand-berlin-anlagenbäume-sachdaten-zur-karte-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,4
gesundheitsberichterstattung-berlin-gesundheitsindikator-397-krankenhausfälle-infolge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,3
soziale-stadt-quartiersmanagement-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,7,3,9,7,5,,6,1,6,12,2,,,,5,2,1,4,9,7,3,4,1,1,2,1,108
blockkarte-1-50000-isu50-raumbezug-umweltatlas-1990-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
entwicklung-luftqualität-nox-gesamtemissionen-1989-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1,,1,1,,1,8
grundwassergüte-ammonium-umweltatlas-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,3
geländehöhen-2009-umweltatlas-atom-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,5
gesundheitsberichterstattung-berlin-gesundheitsindikator-360-krankenhausfälle-infolge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
solaranlagen-thermie-auf-bezirksebene-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,1,5
wirtschaftskennziffern-für-die-einzelnen-teilmärkte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,14,9,2,5,,11,4,1,1,1,70
blockkarte-1-5000-isu5-raumbezug-umweltatlas-2010-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,4
digitale-farbige-trueorthophotos-2013-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,4,5,3,,,,,,1,21
berlin-um-1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,6
klimamodell-berlin-planungshinweise-stadtklima-2015-luftaustausch-umweltatlas-wfs-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
geometrien-der-bundestagswahlkreise-2013-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,3,1,1,29
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-allgemeine-8,,,,,,,,,,,2,,,,,,1,,,,,,1,,1,2,,,,,10,27,12,2,7,,,,1,1,2,1,,3,,,,1,1,1,1,,3,,,,2,,2,4,,1,89
gesundheitsberichterstattung-berlin-gesundheitsindikator-74-schwangeren,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
umsätze-im-verarbeitenden-gewerbe-berlin,,,1,6,5,,,,2,4,3,1,1,2,6,3,1,3,1,5,,,,6,5,1,4,2,1,,2,4,4,2,1,3,4,4,7,4,5,,,,2,3,1,2,3,15,2,2,2,1,1,6,2,5,3,2,,1,156
gewässerkarte-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2
los42014-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,5
bruttoenergieverbrauch-nach-bereichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,8
gesundheitsberichterstattung-berlin-kontext-bezirksprofile-berlin-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,3,2,1,2,,,1,,3,1,,,,1,,2,,,,,,,,,,1,1,1,34
einwohnerinnen-und-einwohner-nach-wohnlagen-den-lor-planungsräumen-am-31122010,,,,,,,,,,,,,,3,,1,1,2,2,1,1,1,1,,,1,7,2,1,,1,1,,1,1,1,2,3,4,1,1,,3,1,1,2,1,3,1,1,1,1,1,,,,,,,1,,1,58
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,4,1,,,,3,,3,,,,1,1,3,,,,,,,,,,1,1,1,29
strat-lärmkarte-ln-nacht-index-flugverkehr-2017-ua-atom-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,1,5
alleinerziehende-haushalte-2014-lor-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,,2,4,2,3,1,3,2,1,26
solaranlagen-photovoltaik-auf-blockebene-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,3,,1,11
baumbestand-berlin-straßenbäume-sachdaten-zur-karte-wfs-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
gebäudeschäden-1945-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,5
lapro-beschlussfassung-biotop-und-artenschutz-programmplan-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
berlin-um-1986-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
blockkarte-1-5000-isu5-raumbezug-umweltatlas-2005-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,3
träger-von-kindertagesstätten-marzahn-hellersdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,2,,2,1,9,10,11,1,4,4,4,5,4,5,4,1,5,15,5,8,2,6,3,,9,10,17,6,18,8,8,5,5,1,217
gebäudegeschosse-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,3
strat-lärmkarte-fassadenpegel-lärmbeeinflußten-wohngebäuden-2017-ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,4
grünanlagenbestand-berlin-einschließlich-der-öffentlichen-spielplätze-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-224-wohngeldempfänger-haushalte,,,,,,,,,,,,,1,2,,2,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,3,1,1,1,,1,,,,,,1,17
adressen-regionales-bezugssystem-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,13,13,21,17,10,16,13,21,22,19,13,26,,,,,,1,220
nicht-eu-ausländeranteil-2014-lor-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,5,,,,1,,1,13
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-6,,,,,,,,,,,,,,,,,,,,,,,,23,21,28,30,34,12,14,25,19,11,15,18,6,2,6,4,6,3,2,2,3,,7,2,3,3,2,1,2,2,,,,2,,3,3,2,1,317
strat-lärmkarte-fassadenpegel-lärmbeeinflußten-wohngebäuden-2017-ua-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
statusindex-2013-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,3
strat-lärmkarte-lden-tag-abend-nacht-index-straßenverkehr-2017-ua-atom-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-326-krankenhausfälle-nach,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,1,,,1,8
kamerale-monatsdaten-bezirk-lichtenberg-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,7,3,7,6,17,10,18,9,6,23,16,19,7,4,2,11,5,4,20,2,5,2,7,5,2,1,1,247
baugewerbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,6,4,3,,1,26
arbeitslosenquote-berlin,12,12,38,63,75,81,43,20,11,14,25,15,10,15,25,20,14,21,16,44,20,29,27,22,29,31,24,24,26,23,22,27,26,36,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,960
flurstücke-im-inspire-datenmodell-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,5
blockkarte-1-50000-isu50-raumbezug-umweltatlas-2015-wfs-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
los52013-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,3
entwicklung-luftqualität-so2-gesamtemissionen-2005-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
wohnatlas-berlin-umgewandelte-wohnungen-2004-2009-pro-1000-wohnungen-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
sozialstatistisches-berichtswesen-berlin-asylbewerberleistungsgesetz-asylblg-1,,,,,,,,,,,1,3,2,1,,1,2,6,,2,2,23,19,6,6,7,11,23,19,5,2,1,3,4,2,,,,1,,2,,1,2,11,4,4,,,,,,1,,1,5,,,,2,3,1,189
detailnetz-bauwerke-wfs-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,6
digitale-farbige-orthophotos-2009-dop20rgb-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,6,3,2,6,1,1,1,1,,5,1,1,,1,37
digitale-farbige-orthophotos-2014-dop20rgb-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,1,1,,2,1,3,5,6,,,,1,,1,26
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-2,,,,,,,,,,,,,,4,,2,3,,,,,,,,,,2,,1,,,,,,1,,1,4,1,4,10,,,,,2,1,4,,2,,,,,,,,,,1,,1,44
grundwassergleichen-des-panketalgrundwasserleiters-2017-ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2
